id,category,title,content
1,Billing,Refund policy,"We process refunds within 5–7 business days back to the original payment method."
2,Technical,App crashes on launch,"Common causes are outdated app version, corrupted cache, or network issues."
3,Account,Reset password,"Users can reset their password using the 'Forgot password' link on the login screen."
4,Billing,Double charges,"If you notice duplicate charges, contact support and we will reverse the extra payment."
5,Billing,Card declined,"A card may be declined due to expired date, insufficient balance, or bank restrictions."
6,Technical,Slow loading,"Slow performance is often caused by poor network connection or overloaded device cache."
7,Refund,Refund eligibility,"Refunds apply only to transactions made within the last 30 days."
8,Account,Update email,"Users can update their email from the profile settings page."
9,Bug,UI not loading,"A blank UI usually indicates a caching issue or missing resources in the latest update."
10,Technical,Login issues,"If login fails, verify credentials, reset password, or check server status."
11,Billing,Invoice requests,"Customers can download invoices from the billing portal under Payment History."
12,Refund,Refund delays,"Bank processing may take up to 10 business days depending on the institution."
13,Account,Delete account,"To delete an account, users must submit a verified deletion request for security reasons."
14,Bug,Buttons not responding,"Unresponsive buttons often occur due to JavaScript errors in the recent build."
15,Technical,App update fails,"Update failures may occur due to insufficient storage or an outdated OS version."
16,Billing,Change subscription,"Subscription changes take effect immediately unless scheduled for next billing."
17,Account,Change username,"Usernames can be changed once every 30 days via the profile section."
18,Refund,Partial refund,"Partial refunds apply when only part of the service was used."
19,Bug,Notifications not showing,"Missing notifications may be caused by OS notification permissions."
20,Technical,Server downtime,"We occasionally perform maintenance which may cause brief service interruptions."
21,Billing,Payment receipt,"Receipts are sent automatically via email after each transaction."
22,Account,Two-factor authentication,"2FA adds an extra layer of protection by requiring a verification code at login."
23,Refund,Unauthorized charge refund,"Unauthorized transactions are refunded immediately upon verification."
24,Bug,Error code 500,"A 500 error indicates a temporary server-side issue."
25,Technical,Audio not working,"Audio problems usually require clearing cache or restarting the app."
26,Billing,Promo code failure,"If a promo code fails, ensure it hasn’t expired or reached its usage limit."
27,Account,Link social accounts,"Social login can be enabled from the Account > Linked Accounts section."
28,Refund,Refund confirmation,"Customers receive a confirmation email after a refund is issued."
29,Bug,Scrolling issues,"Scrolling glitches are typically fixed by updating to the latest version."
30,Technical,Video not loading,"Video issues may be caused by network throttling or unsupported codecs."
31,Billing,Overcharge,"If overcharged, users are compensated with a refund or account credit."
32,Account,Phone number update,"Phone numbers can be updated in the profile settings."
33,Refund,Refund method,"Refunds are always returned to the original payment method used at checkout."
34,Bug,App freezing,"Freezing occurs due to memory leaks or background process overloads."
35,Technical,Image upload failure,"Image uploads require stable internet and supported formats like JPG or PNG."
36,Billing,Missing invoice,"If an invoice is missing, users can request a manual copy from support."
37,Account,Session timeout,"Sessions expire after long inactivity for security purposes."
38,Refund,Refund denied,"Refunds may be denied if the request is outside the refund window."
39,Bug,Text overlap,"Text layout issues often arise from font rendering bugs."
40,Technical,Connectivity problems,"Use Wi-Fi or check mobile data permissions if connection seems unstable."
41,Billing,Billing cycle info,"Billing cycles vary based on subscription plan and country."
42,Account,Password strength,"Users must choose strong passwords including letters and numbers."
43,Refund,Suspected fraud,"Fraud cases are escalated to our risk and compliance team."
44,Bug,Keyboard not opening,"Soft keyboard failures are usually triggered by OS-level bugs."
45,Technical,App overheating,"Overheating may happen during heavy processing tasks or poor ventilation."
46,Billing,Cancel subscription,"Subscriptions can be canceled anytime via the Billing section."
47,Account,Account locked,"Accounts lock temporarily after too many failed logins."
48,Refund,Refund notifications,"Refund notices are sent both via email and in-app alerts."
49,Bug,Links not opening,"Broken links may indicate outdated app routing logic."
50,Technical,Screen flickering,"Screen flickering is often related to GPU or rendering engine issues."
51,Billing,Expired card,"Update your payment method if the saved card has expired."
52,Account,Profile picture upload,"Profile pictures must be under 5MB in size."
53,Refund,Refund policy exceptions,"Special cases like duplicate charges are always eligible for refunds."
54,Bug,Dark mode glitch,"Dark mode issues may appear after UI theme updates."
55,Technical,File download failure,"Ensure storage permissions are enabled before downloading."
56,Billing,Incorrect currency,"Currency depends on region settings in the user's profile."
57,Account,Language settings,"Language can be changed from the Settings > Localization menu."
58,Refund,Refund review time,"Some refunds require manual review which may take 24–48 hours."
59,Bug,Search bar not working,"Search issues may arise from indexing bugs."
60,Technical,GPS not working,"Enable location permissions under OS settings."
61,Billing,Tax calculation,"Taxes vary depending on location and applicable laws."
62,Account,Reactivation,"Deactivated accounts can be reactivated within 30 days."
63,Refund,Subscription refund,"Subscription refunds are prorated based on usage."
64,Bug,Audio delay,"Audio sync errors occur due to rendering queue lags."
65,Technical,Bluetooth issues,"Bluetooth requires OS-level pairing and app permissions."
66,Billing,Chargeback disputes,"Chargebacks are resolved with bank collaboration."
67,Account,Email verification,"Users must verify their email to access certain features."
68,Refund,Refund to wallet,"Some refunds may be issued as wallet credits."
69,Bug,Animations broken,"Animation bugs occur after UI engine upgrades."
70,Technical,Login session expired,"Expired tokens require a fresh login."
71,Billing,Payment method support,"We accept major credit/debit cards and UPI where supported."
72,Account,Deactivate account,"Users may temporarily deactivate accounts from settings."
73,Refund,Refund for add-ons,"Add-on purchases follow a separate refund policy."
74,Bug,Screen rotation issue,"Orientation problems occur due to accelerometer bugs."
75,Technical,Microphone not working,"Check microphone permissions first."
76,Billing,Pending payment,"Pending transactions resolve automatically within minutes."
77,Account,Manage devices,"Users can view and remove logged-in devices."
78,Refund,Multiple refunds request,"Multiple refunds require case-by-case approval."
79,Bug,Color inversion issue,"Incorrect color themes may indicate accessibility setting conflicts."
80,Technical,Cache corruption,"Clear the app cache to fix data corruption."
81,Billing,Subscription upgrade,"Upgrading subscription takes effect immediately."
82,Account,Child account restrictions,"Child accounts have limited permissions for safety."
83,Refund,Refund confirmation missing,"If confirmation is missing, verify bank statement manually."
84,Bug,Gesture issues,"Gesture recognition bugs occur on older devices."
85,Technical,Screen resolution mismatch,"Adjust display settings to avoid stretched UI."
86,Billing,Add payment method,"Users can add multiple cards for billing."
87,Account,Username unavailable,"Usernames must be unique and follow guidelines."
88,Refund,Refund timeline,"Refunds may take longer during high-volume periods."
89,Bug,Loading spinner stuck,"Stuck loaders usually mean incomplete network requests."
90,Technical,WiFi not detected,"Restart your router or check device WiFi permissions."
91,Billing,Trial period info,"Trials auto-convert to paid subscriptions unless canceled."
92,Account,Login with OTP,"OTP login must be completed within 60 seconds."
93,Refund,Refund for fraud case,"Fraudulent transactions are refunded after identity verification."
94,Bug,Crash on logout,"Logout crashes stem from unhandled cleanup processes."
95,Technical,App not installing,"Check storage space and OS compatibility."
96,Billing,Promo rewards,"Promo rewards apply automatically after eligible transactions."
97,Account,Restricted access,"Some features are restricted based on region."
98,Refund,Gift card refund,"Gift card purchases are typically non-refundable."
99,Bug,Overlay not dismissing,"Overlay bugs occur due to modal stacking issues."
100,Technical,Network timeout,"Timeouts indicate slow or unstable internet connection."
